Gene ID	Gene Name	SRR1839796	SRR1839800	SRR1839795	SRR1839804	SRR1839802	SRR1839801	SRR1839803	SRR1839797	SRR1839794	SRR1839792	SRR1839799	SRR1839791	SRR1839798	SRR1839793
ENSG00000005194	CIAPIN1	374	241	318	392	271	247	240	238	320	166	275	323	308	158
ENSG00000005206	SPPL2B	647	644	525	481	531	473	470	425	1122	852	593	993	523	669
ENSG00000005238	FAM214B	1724	1635	1787	1434	1182	1002	1042	1720	2458	1202	841	2307	1268	767
ENSG00000005243	COPZ2	16	13	11	13	8	9	7	9	4	7	11	17	24	3
ENSG00000005249	PRKAR2B	532	217	391	379	247	224	493	233	253	77	118	590	148	101
ENSG00000005302	MSL3	1907	1537	1361	1915	1269	1100	1360	1606	1891	383	704	1822	942	442
ENSG00000005339	CREBBP	3755	3611	3155	3660	2515	1917	2748	2801	6278	1008	1507	6909	2168	694
ENSG00000005379	TSPOAP1	385	278	234	405	289	256	272	229	517	137	235	880	409	111
ENSG00000005381	MPO	116	25	139	89	97	98	42	52	61	43	166	251	90	37
ENSG00000005421	PON1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005436	GCFC2	110	67	76	133	82	53	108	27	121	10	38	131	62	7
ENSG00000005448	WDR54	146	82	86	144	123	159	86	102	181	130	133	178	100	87
ENSG00000005469	CROT	113	75	84	180	77	63	90	65	100	11	30	155	61	12
ENSG00000005471	ABCB4	12	29	30	36	43	32	41	8	52	10	7	20	13	3
ENSG00000005483	KMT2E	1987	1317	1292	2338	1324	925	1760	1132	2494	231	574	2860	907	135
ENSG00000005486	RHBDD2	832	799	642	634	550	568	514	1014	975	955	655	901	631	477
ENSG00000005513	SOX8	26	22	26	20	11	15	24	9	60	19	25	81	21	7
ENSG00000005700	IBTK	315	117	227	407	202	121	314	76	273	12	75	380	151	17
ENSG00000005801	ZNF195	113	91	99	260	81	87	182	52	147	36	84	154	60	20
ENSG00000005810	MYCBP2	1703	791	1159	1600	1012	814	1341	612	1819	153	591	2052	847	131
ENSG00000005812	FBXL3	563	383	445	808	535	243	678	299	778	41	154	1073	241	55
ENSG00000005844	ITGAL	7777	6075	7150	7215	5101	6116	4344	5371	10476	4194	4541	10761	5590	2795
ENSG00000005882	PDK2	200	123	206	220	169	145	123	138	210	143	143	237	165	74
ENSG00000005884	ITGA3	80	53	53	59	59	75	55	56	189	44	56	103	55	29
ENSG00000005889	ZFX	432	344	275	758	257	234	422	259	648	79	158	785	157	36
ENSG00000005893	LAMP2	4854	3335	3992	4260	2978	2421	3132	4692	5296	1882	1789	6022	2374	1074
ENSG00000005961	ITGA2B	664	283	567	173	147	279	246	281	552	450	295	647	224	704
ENSG00000005981	ASB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006007	GDE1	846	616	774	643	650	541	409	713	999	291	369	1140	473	272
ENSG00000006015	REX1BD	310	400	259	303	261	321	237	350	686	852	390	801	318	612
ENSG00000006016	CRLF1	6	3	8	3	2	2	4	5	14	15	2	14	4	4
ENSG00000006025	OSBPL7	478	294	313	434	383	419	299	299	537	386	348	553	361	324
ENSG00000006042	TMEM98	1	0	0	0	0	0	0	0	8	0	2	1	0	0
ENSG00000006047	YBX2	6	0	1	3	1	1	0	1	0	0	1	1	1	0
ENSG00000006059	KRT33A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006062	MAP3K14	967	774	856	832	761	633	576	714	1296	813	557	1323	811	473
ENSG00000006071	ABCC8	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000006116	CACNG3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006118	TMEM132A	2	5	0	8	2	2	6	3	6	2	1	8	10	2
ENSG00000006125	AP2B1	3996	2222	2919	3492	2388	2406	2252	2190	3221	1246	1594	3054	2132	915
ENSG00000006128	TAC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006194	ZNF263	628	411	400	496	424	414	341	304	608	266	338	575	430	173
ENSG00000006210	CX3CL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006282	SPATA20	129	68	415	256	183	204	266	294	283	81	193	472	445	120
ENSG00000006283	CACNA1G	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006327	TNFRSF12A	66	54	67	31	27	32	25	87	59	123	20	74	30	60
ENSG00000006377	DLX6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006432	MAP3K9	101	90	54	115	101	46	117	37	135	28	58	115	48	19
ENSG00000006451	RALA	331	144	303	353	290	159	248	87	300	87	116	332	185	72
ENSG00000006453	BAIAP2L1	20	24	20	23	9	12	19	11	30	11	7	27	5	8
ENSG00000006459	KDM7A	1175	725	881	1431	879	545	1135	677	1461	112	438	2131	482	122
ENSG00000006468	ETV1	1	0	2	3	1	0	0	0	0	0	0	1	7	0
ENSG00000006530	AGK	331	267	199	482	234	279	350	205	428	94	194	541	223	44
ENSG00000006534	ALDH3B1	1236	822	1188	1010	698	771	565	1107	1208	1130	1011	1292	991	644
ENSG00000006555	TTC22	229	171	196	288	170	165	176	170	320	149	155	292	194	89
ENSG00000006576	PHTF2	192	101	130	288	222	82	305	62	223	28	60	436	86	15
ENSG00000006606	CCL26	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000006607	FARP2	140	125	147	194	218	119	163	76	176	46	109	227	137	40
ENSG00000006611	USH1C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006625	GGCT	29	21	31	37	26	15	23	16	34	11	12	43	22	7
ENSG00000006634	DBF4	92	62	74	100	84	62	86	42	79	13	42	118	44	9
ENSG00000006638	TBXA2R	56	73	29	43	33	26	36	25	74	49	48	51	40	43
ENSG00000006652	IFRD1	782	690	634	617	424	401	676	535	737	194	231	1572	306	154
ENSG00000006659	LGALS14	0	0	0	0	0	2	0	0	0	0	0	0	0	1
ENSG00000006695	COX10	174	116	128	150	120	136	97	136	172	54	130	195	141	45
ENSG00000006704	GTF2IRD1	8	4	4	3	2	10	6	2	10	0	0	3	0	0
ENSG00000006712	PAF1	926	820	855	723	671	769	515	802	981	694	666	937	671	459
ENSG00000006715	VPS41	841	461	569	966	554	426	557	395	752	240	305	915	432	184
ENSG00000006740	ARHGAP44	20	5	4	6	5	7	3	3	22	11	6	15	9	1
ENSG00000006744	ELAC2	738	563	493	727	568	546	520	354	680	293	405	798	562	240
ENSG00000006747	SCIN	4	0	2	3	0	2	2	0	1	0	0	9	2	0
ENSG00000006756	ARSD	378	246	190	361	193	248	124	295	353	155	218	407	249	104
ENSG00000006757	PNPLA4	57	46	35	66	30	44	45	48	55	20	39	41	29	18
ENSG00000006788	MYH13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006831	ADIPOR2	1015	578	808	1011	677	544	647	662	966	297	481	1152	601	297
ENSG00000006837	CDKL3	2	3	2	2	3	3	5	0	3	7	8	7	2	1
ENSG00000007001	UPP2	0	0	2	0	1	0	0	0	1	0	0	2	0	0
ENSG00000007038	PRSS21	72	43	13	14	41	44	12	30	20	1	40	37	12	63
ENSG00000007047	MARK4	564	620	445	494	321	340	206	429	900	451	368	581	370	407
ENSG00000007062	PROM1	4	1	5	5	1	4	3	5	2	0	0	6	4	0
ENSG00000007080	CCDC124	330	255	291	253	279	291	255	258	432	621	379	406	355	378
ENSG00000007129	CEACAM21	313	331	320	357	278	244	192	134	493	378	231	349	154	193
ENSG00000007168	PAFAH1B1	1954	1354	1511	2067	1375	1079	1657	1252	1970	534	719	2448	866	302
ENSG00000007171	NOS2	6	1	1	0	0	1	7	1	3	0	0	2	1	3
ENSG00000007174	DNAH9	2	0	1	0	0	0	0	0	1	0	2	2	0	0
ENSG00000007202	KIAA0100	1679	1269	1528	1942	1361	1075	1332	1006	2140	491	962	2242	1248	296
ENSG00000007216	SLC13A2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000007237	GAS7	2943	2578	1949	1907	1341	1478	1583	2679	2930	1217	1099	2565	1690	476
ENSG00000007255	TRAPPC6A	211	218	205	178	224	248	171	221	329	321	233	232	241	222
ENSG00000007264	MATK	640	426	469	637	568	536	293	511	847	827	517	890	547	690
ENSG00000007306	CEACAM7	0	0	1	2	1	0	0	0	0	0	0	2	0	0
ENSG00000007312	CD79B	444	678	509	452	820	629	485	324	742	1099	395	716	688	680
ENSG00000007314	SCN4A	8	5	9	9	7	2	10	13	7	7	2	4	7	3
ENSG00000007341	ST7L	47	29	48	69	40	55	44	34	36	11	26	63	36	9
ENSG00000007350	TKTL1	89	69	55	95	47	51	85	54	80	37	59	125	174	62
ENSG00000007372	PAX6	0	0	0	0	1	0	0	1	1	0	0	0	0	0
ENSG00000007376	RPUSD1	339	257	259	247	263	291	165	265	452	616	300	408	263	248
ENSG00000007384	RHBDF1	5	1	0	0	0	5	0	1	4	0	3	1	2	1
ENSG00000007392	LUC7L	768	586	532	789	647	598	630	459	847	296	537	812	502	211
ENSG00000007402	CACNA2D2	92	71	110	283	108	97	83	67	138	49	67	258	100	40
ENSG00000007516	BAIAP3	420	222	181	183	256	139	205	436	690	809	176	816	363	229
ENSG00000007520	TSR3	319	229	280	233	263	228	179	296	517	795	211	549	273	443
ENSG00000007541	PIGQ	388	329	281	272	223	260	245	293	504	572	229	485	313	306
ENSG00000007545	CRAMP1	223	186	142	268	192	146	200	134	324	35	125	345	110	42
ENSG00000007866	TEAD3	2	3	2	5	8	3	2	6	6	11	0	3	1	2
ENSG00000007908	SELE	1	0	1	2	0	1	0	0	1	0	0	0	0	0
ENSG00000007923	DNAJC11	326	209	240	331	212	233	214	165	374	57	172	336	204	42
ENSG00000007933	FMO3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007944	MYLIP	886	812	614	1171	782	669	763	689	1428	312	341	1819	537	251
ENSG00000007952	NOX1	2	1	0	6	5	5	5	8	4	0	2	5	2	1
ENSG00000007968	E2F2	257	146	261	159	158	171	194	90	158	105	168	204	228	126
ENSG00000008018	PSMB1	648	367	597	545	499	374	434	535	437	524	371	686	430	412
ENSG00000008056	SYN1	12	2	8	7	6	7	3	1	8	6	5	9	5	12
ENSG00000008083	JARID2	1452	1122	916	1482	813	573	1155	1001	1892	426	571	2100	847	251
ENSG00000008086	CDKL5	339	186	187	228	163	131	125	157	278	57	75	337	90	33
ENSG00000008118	CAMK1G	0	0	0	0	0	0	4	0	0	0	0	0	0	1
ENSG00000008128	CDK11A	75	84	56	85	72	52	95	96	166	80	54	125	60	47
ENSG00000008130	NADK	9349	8159	7320	6516	5485	5421	3496	8556	12406	6298	4073	11624	7679	3278
ENSG00000008196	TFAP2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008197	TFAP2D	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008226	DLEC1	79	97	70	117	82	74	73	92	136	62	58	115	52	38
ENSG00000008256	CYTH3	176	120	101	289	179	134	168	77	208	73	93	345	94	20
ENSG00000008277	ADAM22	29	16	31	72	30	23	45	16	63	6	20	95	18	6
ENSG00000008282	SYPL1	625	467	554	761	608	435	681	343	648	141	341	674	388	109
ENSG00000008283	CYB561	703	340	329	469	438	661	251	333	721	400	337	440	455	144
ENSG00000008294	SPAG9	1545	930	1538	1413	961	654	1207	912	1645	222	398	2274	522	179
ENSG00000008300	CELSR3	52	65	48	55	64	38	64	30	174	37	62	97	69	20
ENSG00000008311	AASS	5	10	12	30	2	6	14	10	27	0	2	23	8	0
ENSG00000008323	PLEKHG6	14	17	7	16	10	11	19	15	35	16	21	36	11	21
ENSG00000008324	SS18L2	106	54	90	75	90	52	48	50	60	79	32	68	70	30
ENSG00000008382	MPND	169	137	179	154	143	136	95	127	199	214	125	187	169	134
ENSG00000008394	MGST1	98	73	201	131	115	79	113	99	88	87	51	94	118	30
ENSG00000008405	CRY1	115	61	95	184	104	77	148	32	185	10	43	231	65	7
ENSG00000008438	PGLYRP1	952	874	843	534	625	442	174	1209	879	1752	457	746	239	990
ENSG00000008441	NFIX	233	189	201	160	172	279	293	201	388	151	253	330	247	252
ENSG00000008513	ST3GAL1	3028	2241	2211	2910	1937	1886	1988	1684	3828	1379	1581	3066	1645	786
ENSG00000008516	MMP25	12191	15006	10407	7338	7158	6390	6123	16162	21134	16893	5964	32577	5449	10148
ENSG00000008517	IL32	2559	1424	1866	2102	1953	2045	1987	1681	3876	3043	2208	2812	1716	1756
ENSG00000008710	PKD1	470	463	300	533	396	341	375	247	1238	221	272	1063	326	135
ENSG00000008735	MAPK8IP2	6	5	8	4	4	6	10	12	13	10	6	14	6	6
ENSG00000008838	MED24	719	594	552	691	562	520	510	396	926	335	480	893	553	167
ENSG00000008853	RHOBTB2	132	159	126	193	185	156	131	95	266	77	100	230	172	37
ENSG00000008869	HEATR5B	755	426	504	927	481	370	736	241	795	96	244	853	335	56
ENSG00000008952	SEC62	674	367	596	698	567	373	625	329	626	170	208	964	387	231
ENSG00000008988	RPS20	2529	591	1942	1078	1295	946	1463	743	597	1152	525	602	1445	1344
ENSG00000009307	CSDE1	5428	3024	4151	5105	3922	2865	3924	3209	4687	1185	1822	6035	2882	841
ENSG00000009335	UBE3C	640	459	517	823	597	392	551	369	934	132	318	1060	430	97
ENSG00000009413	REV3L	338	137	195	404	189	136	307	138	368	19	97	541	121	28
ENSG00000009694	TENM1	48	42	42	58	16	18	48	18	167	20	26	170	14	12
ENSG00000009709	PAX7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009724	MASP2	47	37	29	88	64	18	73	20	98	1	19	72	12	6
ENSG00000009765	IYD	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009780	FAM76A	168	85	141	145	143	101	106	69	135	29	77	204	82	25
ENSG00000009790	TRAF3IP3	3427	2297	2427	3341	2435	2298	2489	1730	3437	1042	1574	3010	2048	789
ENSG00000009830	POMT2	92	73	68	99	72	88	101	49	128	73	84	107	93	36
ENSG00000009844	VTA1	347	169	257	321	280	146	222	176	226	62	90	289	194	47
ENSG00000009950	MLXIPL	0	0	1	0	2	0	0	0	1	0	0	0	0	1
ENSG00000009954	BAZ1B	960	593	787	1184	770	583	752	440	1105	283	421	1199	615	145
ENSG00000010017	RANBP9	467	318	340	547	372	228	390	229	500	51	190	536	182	41
ENSG00000010030	ETV7	239	16	123	41	78	170	14	171	102	22	223	93	446	156
ENSG00000010072	SPRTN	115	61	80	127	72	74	92	84	115	14	39	166	51	19
ENSG00000010165	EEF1AKNMT	483	298	345	446	340	301	303	202	421	194	279	423	375	103
ENSG00000010219	DYRK4	78	36	60	75	85	56	77	17	50	35	59	66	70	31
ENSG00000010244	ZNF207	2292	1673	1627	3079	1705	1310	1995	1445	2504	547	1118	2842	1288	423
ENSG00000010256	UQCRC1	1292	979	1183	1071	923	918	621	1180	1174	1521	1070	1211	1379	872
ENSG00000010270	STARD3NL	163	109	207	169	179	103	138	96	184	98	60	243	149	51
ENSG00000010278	CD9	282	169	243	312	634	91	113	321	170	73	265	173	143	32
ENSG00000010282	HHATL	0	0	3	2	0	0	0	4	5	1	4	3	2	3
ENSG00000010292	NCAPD2	1260	933	886	1091	887	699	734	604	1108	336	633	1291	694	158
ENSG00000010295	IFFO1	1135	875	1085	889	828	631	611	698	1422	802	628	1526	829	445
ENSG00000010310	GIPR	71	52	54	91	41	39	37	55	81	54	52	96	41	21
ENSG00000010318	PHF7	57	48	41	72	44	33	57	33	58	26	21	71	41	25
ENSG00000010319	SEMA3G	10	16	8	17	6	11	10	3	17	2	3	16	10	1
ENSG00000010322	NISCH	2217	1865	1588	2008	1676	1440	1273	1510	3094	1690	1306	2699	1624	919
ENSG00000010327	STAB1	1259	1561	2293	1347	1213	876	973	1093	1931	1668	919	2001	1985	643
ENSG00000010361	FUZ	256	306	178	205	143	199	204	291	364	616	172	266	169	331
ENSG00000010379	SLC6A13	3	4	4	6	0	2	1	4	9	0	0	8	3	4
ENSG00000010404	IDS	4728	3905	4146	4767	3202	2586	3941	4645	6153	1781	1666	6412	2262	958
ENSG00000010438	PRSS3	0	4	1	0	1	0	1	2	0	0	2	2	0	2
ENSG00000010539	ZNF200	521	395	388	427	273	268	243	370	478	155	199	582	272	94
ENSG00000010610	CD4	7081	4987	5104	4901	3409	4906	3220	3940	6494	2769	4390	5524	4823	1439
ENSG00000010626	LRRC23	40	28	37	41	31	46	38	36	41	49	17	73	37	34
ENSG00000010671	BTK	1209	749	1122	1038	1037	800	681	956	831	534	600	1016	973	426
ENSG00000010704	HFE	126	55	75	142	97	88	70	107	170	17	28	166	61	20
ENSG00000010803	SCMH1	185	159	127	195	173	177	128	121	221	97	110	210	139	51
ENSG00000010810	FYN	3119	1604	1983	3156	1966	2145	1844	1864	3274	1157	1565	3337	1795	716
ENSG00000010818	HIVEP2	823	551	491	930	605	510	980	336	1324	135	324	1285	391	84
ENSG00000010932	FMO1	0	0	1	1	2	0	2	0	1	0	0	0	1	3
ENSG00000011007	ELOA	540	367	491	597	391	328	463	362	516	119	267	531	358	101
ENSG00000011009	LYPLA2	1024	910	808	780	689	719	512	928	1184	1329	772	1086	752	778
ENSG00000011021	CLCN6	320	286	295	431	333	260	326	192	427	110	176	535	241	74
ENSG00000011028	MRC2	103	81	176	88	94	151	82	56	289	62	152	197	100	47
ENSG00000011052	NME1-NME2	0	1	0	0	0	0	0	0	0	2	0	0	0	0
ENSG00000011083	SLC6A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011105	TSPAN9	101	63	83	54	38	55	63	30	88	44	61	112	58	52
ENSG00000011114	BTBD7	295	221	240	443	249	162	351	186	450	65	100	579	131	30
ENSG00000011132	APBA3	553	405	419	361	342	341	263	401	821	537	323	632	334	308
ENSG00000011143	MKS1	117	79	71	120	59	82	97	44	140	43	93	125	73	40
ENSG00000011198	ABHD5	1613	930	1153	1064	920	634	906	1371	1113	839	419	1876	621	438
ENSG00000011201	ANOS1	0	0	1	9	1	1	0	1	4	0	0	2	0	0
ENSG00000011243	AKAP8L	980	827	872	743	647	656	626	654	1157	928	561	1080	816	543
ENSG00000011258	MBTD1	343	181	233	542	280	153	394	157	393	76	117	596	165	42
ENSG00000011260	UTP18	312	173	240	286	283	215	199	166	231	129	167	294	237	87
ENSG00000011275	RNF216	1589	1319	1237	1587	1124	924	977	891	1973	854	787	1831	959	420
ENSG00000011295	TTC19	248	126	170	295	177	130	227	84	300	78	127	363	120	48
ENSG00000011304	PTBP1	2994	2381	2230	2819	2143	1906	2228	1734	4577	1280	1726	4542	1820	829
ENSG00000011332	DPF1	0	0	0	0	1	0	1	1	4	0	2	1	1	0
ENSG00000011347	SYT7	1	0	0	1	0	1	0	0	1	0	0	0	0	0
ENSG00000011376	LARS2	186	133	172	213	155	104	156	120	203	36	105	236	111	19
ENSG00000011405	PIK3C2A	296	152	219	460	258	139	432	101	350	45	83	532	151	17
ENSG00000011422	PLAUR	2088	1555	1410	1272	999	1339	620	1816	1956	1294	988	2172	1192	929
ENSG00000011426	ANLN	10	3	12	6	7	5	1	5	4	3	0	6	3	1
ENSG00000011451	WIZ	603	549	491	594	481	433	399	450	1048	459	368	860	484	238
ENSG00000011454	RABGAP1	474	332	330	591	356	273	387	261	503	60	177	595	269	47
ENSG00000011465	DCN	0	1	0	0	1	0	0	1	0	0	0	1	0	0
ENSG00000011478	QPCTL	75	103	57	85	68	73	67	78	102	69	75	113	62	62
ENSG00000011485	PPP5C	529	297	236	496	389	362	278	270	469	148	263	497	345	127
ENSG00000011523	CEP68	400	252	265	619	307	269	389	208	496	52	202	466	132	60
ENSG00000011566	MAP4K3	47	25	32	95	33	34	72	25	52	2	24	70	31	6
ENSG00000011590	ZBTB32	51	44	19	17	52	32	26	22	62	66	20	64	35	22
ENSG00000011600	TYROBP	8391	8705	7734	5216	6376	6927	4323	13751	8787	21029	6964	8857	10066	13091
